name,id,nametype,recclass,mass (g),fall,year,reclat,reclong,GeoLocation
Aachen,1,Valid,L5,21.0,Fell,01/01/1880 12:00:00 AM,50.775,6.08333,"(50.775, 6.08333)"
Aarhus,2,Valid,H6,720.0,Fell,01/01/1951 12:00:00 AM,56.183330000000005,10.23333,"(56.18333, 10.23333)"
Abee,6,Valid,EH4,107000.0,Fell,01/01/1952 12:00:00 AM,54.21666999999999,-113.0,"(54.21667, -113.0)"
Abajo,4,Valid,H5,331.0,Found,01/01/1982 12:00:00 AM,26.8,-105.41667,"(26.8, -105.41667)"
Abbott,5,Valid,H3-6,21100.0,Found,01/01/1951 12:00:00 AM,36.3,-104.28333,"(36.3, -104.28333)"
Abernathy,7,Valid,L6,2914.0,Found,01/01/1941 12:00:00 AM,33.85,-101.8,"(33.85, -101.8)"
Abo,8,Valid,H,1.2,Found,01/01/1840 12:00:00 AM,60.433330000000005,22.3,"(60.43333, 22.3)"
Abu Moharek,9,Valid,H4,4500.0,Found,01/01/1997 12:00:00 AM,27.239440000000002,29.835829999999998,"(27.23944, 29.83583)"
